model,split,n,positive,negative,prevalence,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,brier_score,note
constant_prevalence,train,234,10,224,0.042735042735042736,0.9572649572649573,0.5,0.0,0.0,0.0,0.5,0.042735042735042736,0.04090875885747681,
gcn,train,234,10,224,0.042735042735042736,0.811965811965812,0.6151785714285715,0.09523809523809523,0.4,0.15384615384615385,0.7642857142857142,0.24044959434121424,0.19642538067215656,
hand_weighted_linear,train,234,10,224,0.042735042735042736,0.2564102564102564,0.37276785714285715,0.028735632183908046,0.5,0.05434782608695652,0.42812500000000003,0.08843888222120094,0.2459155774258119,
logistic_regression,train,234,10,224,0.042735042735042736,0.7307692307692307,0.6683035714285714,0.09230769230769231,0.6,0.16,0.7549107142857143,0.21177320980064723,0.2044474698862519,
tgn,train,234,10,224,0.042735042735042736,0.7735042735042735,0.690625,0.10909090909090909,0.6,0.18461538461538463,0.7767857142857143,0.2471217540168374,0.19863384946335816,
tgn_no_memory,train,234,10,224,0.042735042735042736,0.9444444444444444,0.6366071428571428,0.3333333333333333,0.3,0.3157894736842105,0.7272321428571429,0.23152600201836984,0.19270269147874158,
constant_prevalence,validation,216,36,180,0.16666666666666666,0.8333333333333334,0.5,0.0,0.0,0.0,0.5,0.16666666666666666,0.15424793629921835,
gcn,validation,216,36,180,0.16666666666666666,0.8101851851851852,0.675,0.4358974358974359,0.4722222222222222,0.4533333333333333,0.6640432098765432,0.3871590084431527,0.20229172773613843,
hand_weighted_linear,validation,216,36,180,0.16666666666666666,0.28703703703703703,0.40555555555555556,0.13125,0.5833333333333334,0.21428571428571427,0.4351851851851852,0.22610926836611275,0.2664663356764613,
logistic_regression,validation,216,36,180,0.16666666666666666,0.7268518518518519,0.6361111111111111,0.3050847457627119,0.5,0.37894736842105264,0.6558641975308641,0.3579688948413336,0.21084287066825058,
tgn,validation,216,36,180,0.16666666666666666,0.7453703703703703,0.6361111111111111,0.32075471698113206,0.4722222222222222,0.38202247191011235,0.6589506172839505,0.37809181947624493,0.2068554508130852,
tgn_no_memory,validation,216,36,180,0.16666666666666666,0.8564814814814815,0.6361111111111111,0.6470588235294118,0.3055555555555556,0.41509433962264153,0.6563271604938271,0.39548434205461075,0.20571600693667727,
constant_prevalence,test,193,19,174,0.09844559585492228,0.9015544041450777,0.5,0.0,0.0,0.0,0.5,0.09844559585492228,0.0918577262406145,
gcn,test,193,19,174,0.09844559585492228,0.8290155440414507,0.6707501512401693,0.28125,0.47368421052631576,0.35294117647058826,0.7344222625529341,0.46048407690706217,0.1932739697973226,
hand_weighted_linear,test,193,19,174,0.09844559585492228,0.29015544041450775,0.48911070780399274,0.0958904109589041,0.7368421052631579,0.1696969696969697,0.6394434361766486,0.435533295225598,0.24229454469899847,
logistic_regression,test,193,19,174,0.09844559585492228,0.7461139896373057,0.6950998185117967,0.2222222222222222,0.631578947368421,0.3287671232876712,0.7078039927404719,0.4600795104309386,0.20838599619872064,
tgn,test,193,19,174,0.09844559585492228,0.7512953367875648,0.6979733817301875,0.22641509433962265,0.631578947368421,0.3333333333333333,0.7392619479733817,0.45610600785668953,0.20401988790162498,
tgn_no_memory,test,193,19,174,0.09844559585492228,0.9015544041450777,0.6406533575317604,0.5,0.3157894736842105,0.3870967741935484,0.7486388384754992,0.4554893465268863,0.1975222757218174,
