model,split,n,mae,rmse,r2,pearson_r,spearman_r,directional_accuracy,note
gcn,train,234,0.1285264543078553,0.18065990209239347,0.11401689874378584,0.39530322186155037,0.39552271306449016,0.6923076923076923,
ridge_regression,train,234,0.12871958571757144,0.17775239098956225,0.14230514532419536,0.3772367188281722,0.3327741992886729,0.6623931623931624,
tgn,train,234,0.18730315526063818,0.24410310180951372,-0.6175156579734047,0.3343948144872928,0.3327414192358034,0.36324786324786323,
tgn_no_memory,train,234,0.12871585452618697,0.17972563889289186,0.12315673674452654,0.4051629780232816,0.36739649112948364,0.6709401709401709,
train_median,train,234,0.1396558895031097,0.19195328996579475,-0.00021421493999662644,-7.415946332400096e-18,,0.6324786324786325,
gcn,validation,216,0.1402450383851896,0.1840766679399883,-0.14292567233901843,0.24408709583486865,0.26529132283070767,0.5462962962962963,
ridge_regression,validation,216,0.1553683429196433,0.19798699725896818,-0.32218990012421456,0.3039700484372057,0.3082746877195489,0.47685185185185186,
tgn,validation,216,0.12668417177522956,0.1731382258747067,-0.011128671280194347,0.28268756574910114,0.33067552602436323,0.6759259259259259,
tgn_no_memory,validation,216,0.1442231872845325,0.186287744755514,-0.170547574321275,0.2946318437646801,0.3001297943533502,0.4722222222222222,
train_median,validation,216,0.1688977676379698,0.21038157421457282,-0.4929178072214877,1.1940615631994703e-17,,0.32407407407407407,
gcn,test,193,0.1456940864121428,0.21477934872428622,0.17630739049908772,0.5574576046567863,0.303655749237504,0.5906735751295337,
ridge_regression,test,193,0.14237367217403732,0.1817057433136631,0.41045435280688913,0.7204933812051859,0.33965278294354473,0.5906735751295337,
tgn,test,193,0.17236449643097929,0.2293648904019779,0.060635795793749225,0.6678915732923199,0.2772153024204282,0.5025906735751295,
tgn_no_memory,test,193,0.14510821595192655,0.20932111370174708,0.21764078801437003,0.6270504078197037,0.2979343166502678,0.5751295336787565,
train_median,test,193,0.1642358091265318,0.2506988904281304,-0.12223795185283937,2.4307650580166547e-17,,0.49740932642487046,
