model,split,n,positive,negative,prevalence,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,brier_score,note
constant_prevalence,train,4252,800,3452,0.18814675446848542,0.8118532455315146,0.5,0.0,0.0,0.0,0.5,0.18814675446848542,0.1527475532514609,
gcn,train,4252,800,3452,0.18814675446848542,0.2756349952963311,0.5356358632676709,0.20031545741324921,0.9525,0.3310165073848827,0.6605147378331402,0.2947178529088062,0.27335614460422875,
logistic_regression,train,4252,800,3452,0.18814675446848542,0.6615710253998118,0.6465628621089223,0.30458715596330277,0.6225,0.4090349075975359,0.6910435979142526,0.3260137611833399,0.22243653795816348,
mlp,train,4252,800,3452,0.18814675446848542,0.5863123236124177,0.6453476245654692,0.2762482501166589,0.74,0.4023105674481821,0.6999154475666279,0.33463342086666986,0.25007817662874726,
tgn,train,4252,800,3452,0.18814675446848542,0.5924270931326434,0.6241454229432213,0.26825633383010433,0.675,0.38393174546747244,0.6721076549826187,0.300429029323002,0.24946149052124328,
tgn_no_memory,train,4252,800,3452,0.18814675446848542,0.18814675446848542,0.5,0.18814675446848542,1.0,0.3167062549485352,0.6643532734646582,0.3020358256895635,0.27414183657266167,
constant_prevalence,validation,3911,1103,2808,0.2820250575300435,0.7179749424699565,0.5,0.0,0.0,0.0,0.5,0.2820250575300435,0.21130006024093687,
gcn,validation,3911,1103,2808,0.2820250575300435,0.35515213500383536,0.5313834259323833,0.2962962962962963,0.9356300997280145,0.4500654164849542,0.609487237603738,0.3697021906275953,0.2659824830062655,
logistic_regression,validation,3911,1103,2808,0.2820250575300435,0.619023267706469,0.6113761871921437,0.3859752504419564,0.5938349954669084,0.46785714285714286,0.638593463049492,0.37548542358430737,0.24162057052704902,
mlp,validation,3911,1103,2808,0.2820250575300435,0.5691638967016108,0.6124360072116192,0.36477695167286245,0.7116953762466002,0.4823348694316436,0.6419719723210204,0.3921108895615141,0.2586546893969236,
tgn,validation,3911,1103,2808,0.2820250575300435,0.5617489133214012,0.5756188444878381,0.3434136340338288,0.6074342701722575,0.43876882776686316,0.6049423612886895,0.3653858816063553,0.25024707215708536,
tgn_no_memory,validation,3911,1103,2808,0.2820250575300435,0.2820250575300435,0.5,0.2820250575300435,1.0,0.4399680893498205,0.6020612328975883,0.35275662347885384,0.2669482840475951,
constant_prevalence,test,3419,888,2531,0.259725065808716,0.740274934191284,0.5,0.0,0.0,0.0,0.5,0.259725065808716,0.19739141065369314,
gcn,test,3419,888,2531,0.259725065808716,0.3916349809885932,0.5430406206285305,0.280559646539028,0.8581081081081081,0.42286348501664817,0.5772804610220651,0.30978841858583106,0.27134128088857246,
logistic_regression,test,3419,888,2531,0.259725065808716,0.5881836794384323,0.5818577121174908,0.3300653594771242,0.5686936936936937,0.41770057899090157,0.6161540590373068,0.32976577206510327,0.2561681243489396,
mlp,test,3419,888,2531,0.259725065808716,0.5308569757238959,0.5738409043179885,0.3109820485744456,0.6632882882882883,0.42343637670740475,0.6078754080038158,0.3317692927671873,0.27676923986575436,
tgn,test,3419,888,2531,0.259725065808716,0.519742614799649,0.5403825892269196,0.28938547486033517,0.5833333333333334,0.38685586258401794,0.5661671400756743,0.305666448135214,0.25455795922782226,
tgn_no_memory,test,3419,888,2531,0.259725065808716,0.259725065808716,0.5,0.259725065808716,1.0,0.412351985140469,0.5766631160991097,0.30888702447030403,0.27287616602710973,
