model,split,n,mae,rmse,r2,pearson_r,spearman_r,directional_accuracy,note
gcn,train,4252,0.46846726124840676,1.9059373057908944,-0.00037079320807986704,0.10374045115426771,0.2914921021280963,0.6331138287864534,
mlp,train,4252,0.4751480411244852,1.912420556128362,-0.007188105705758119,0.08540778901964273,0.22546792749202046,0.5990122295390404,
ridge_regression,train,4252,0.5659151390311054,1.8806523922451788,0.025995768748357073,0.16123204793110862,0.07548897476959045,0.5757290686735654,
tgn,train,4252,0.46720908443438763,1.9078699798462608,-0.0024006301058370205,0.09660260442380919,0.2911365351158203,0.6382878645343368,
tgn_no_memory,train,4252,0.46875799887297126,1.9103001315957837,-0.004955874530865323,0.08491607479319906,0.276042268415795,0.6345249294449671,
train_median,train,4252,0.4843284761965294,1.9185238556801674,-0.01362704481427457,-2.367732323932978e-17,,0.5881937911571026,
gcn,validation,3911,0.6018560725155734,3.0023467719067467,0.001486891359114062,0.04193763736313967,0.07574330418504008,0.43006903605216057,
mlp,validation,3911,0.5461232724351427,3.006819624274658,-0.001490465290852283,0.043978220786622196,0.046858159576223815,0.45231398619278956,
ridge_regression,validation,3911,0.697889276831503,2.9993507801120325,0.003478696240475032,0.06949091397164403,-0.06401971455216579,0.43390437228330353,
tgn,validation,3911,0.6031097957488509,3.0024863465590768,0.0013940504116426444,0.04506503952822102,0.015859307785669362,0.4323702377908463,
tgn_no_memory,validation,3911,0.5800754053349336,3.00352930585255,0.0007001679910303427,0.04529933963072806,0.0293772543224315,0.4333929941191511,
train_median,validation,3911,0.5421279256859448,3.0092811965616364,-0.003130903085070802,1.1186394977906474e-17,,0.42035285093326513,
gcn,test,3419,0.5807624840419301,2.0986739553322318,-0.009719465434500973,0.01753221936351282,0.01759006732601773,0.454226381983036,
mlp,test,3419,0.4870090281543756,2.095658143184662,-0.006819599748187022,-0.040412593595218455,-0.02606285065739169,0.4533489324363849,
ridge_regression,test,3419,0.6817938306340771,2.1060145380489663,-0.016795258870714314,0.06710772249942024,-0.0988195221674572,0.4194208832992103,
tgn,test,3419,0.5633810848469887,2.104642149322711,-0.015470497189502552,0.013659324466951896,0.02157079367123357,0.4735302720093595,
tgn_no_memory,test,3419,0.5133335188510575,2.096455854321873,-0.0075862363010335,-0.017051849587051977,-0.010164580691671667,0.4641708101784147,
train_median,test,3419,0.4751206564144071,2.092548756538405,-0.003834123366209141,1.5920858301515034e-17,,0.45481134834747,
