target,model,metric,split,value,sd,n_seeds,epochs,script,run_date
T0,zero,R2,test2024,-0.007466,,1,,phase0_t1_ladder.py,2026-09-12
T0,persistence,R2,test2024,0.647614,,1,,phase0_t1_ladder.py,2026-09-12
T0,seasonal_T-11,R2,test2024,-0.436683,,1,,phase0_t1_ladder.py,2026-09-12
T0,per_country_median,R2,test2024,-0.301568,,1,,phase0_t1_ladder.py,2026-09-12
T0,global_median,R2,test2024,-0.089748,,1,,phase0_t1_ladder.py,2026-09-12
T0,ridge_paper7,R2,test2024,0.378355,,1,,phase0_t1_ladder.py,2026-09-12
T0,ar_ridge,R2,test2024,0.571668,,1,,phase0_t1_ladder.py,2026-09-12
T0,random_forest,R2,test2024,0.279574,,1,,phase0_t1_ladder.py,2026-09-12
T0,lightgbm,R2,test2024,0.23317,,1,,phase0_t1_ladder.py,2026-09-12
T0,ar1_only,R2,test2024,0.566592,,1,,ar1_decomposition.py,2026-09-12
T0,ar1_plus_flow,R2,test2024,0.571668,,1,,ar1_decomposition.py,2026-09-12
T1,zero,R2,test2024,-2.8e-05,,1,,phase0_t1_ladder.py,2026-09-12
T1,persistence,R2,test2024,-1.908898,,1,,phase0_t1_ladder.py,2026-09-12
T1,seasonal_T-11,R2,test2024,-1.647634,,1,,phase0_t1_ladder.py,2026-09-12
T1,per_country_median,R2,test2024,-0.077974,,1,,phase0_t1_ladder.py,2026-09-12
T1,global_median,R2,test2024,-0.007624,,1,,phase0_t1_ladder.py,2026-09-12
T1,ridge_paper7,R2,test2024,-0.032066,,1,,phase0_t1_ladder.py,2026-09-12
T1,ar_ridge,R2,test2024,0.138457,,1,,phase0_t1_ladder.py,2026-09-12
T1,random_forest,R2,test2024,0.118266,,1,,phase0_t1_ladder.py,2026-09-12
T1,lightgbm,R2,test2024,0.03347,,1,,phase0_t1_ladder.py,2026-09-12
T1,ar1_only,R2,test2024,0.171217,,1,,ar1_decomposition.py,2026-09-12
T1,ar1_plus_flow,R2,test2024,0.150075,,1,,ar1_decomposition.py,2026-09-12
T4,zero,R2,test2024,-0.01312,,1,,phase0_t1_ladder.py,2026-09-12
T4,persistence,R2,test2024,0.488953,,1,,phase0_t1_ladder.py,2026-09-12
T4,seasonal_T-11,R2,test2024,-1.467004,,1,,phase0_t1_ladder.py,2026-09-12
T4,per_country_median,R2,test2024,-1.328641,,1,,phase0_t1_ladder.py,2026-09-12
T4,global_median,R2,test2024,-0.541347,,1,,phase0_t1_ladder.py,2026-09-12
T4,ridge_paper7,R2,test2024,-0.127709,,1,,phase0_t1_ladder.py,2026-09-12
T4,ar_ridge,R2,test2024,0.273174,,1,,phase0_t1_ladder.py,2026-09-12
T4,random_forest,R2,test2024,0.286561,,1,,phase0_t1_ladder.py,2026-09-12
T4,lightgbm,R2,test2024,0.299717,,1,,phase0_t1_ladder.py,2026-09-12
T4,ar1_only,R2,test2024,0.416301,,1,,ar1_decomposition.py,2026-09-12
T4,ar1_plus_flow,R2,test2024,0.416572,,1,,ar1_decomposition.py,2026-09-12
T0,exo_ar_baseline,R2,test2024,0.571668,,1,,preprocessing_exogenous.py,2026-09-12
T0,exo_+news,R2,test2024,0.33793,,1,,preprocessing_exogenous.py,2026-09-12
T0,exo_+weather,R2,test2024,0.569775,,1,,preprocessing_exogenous.py,2026-09-12
T0,exo_+gscpi,R2,test2024,0.500832,,1,,preprocessing_exogenous.py,2026-09-12
T0,exo_+all,R2,test2024,0.463562,,1,,preprocessing_exogenous.py,2026-09-12
T1,exo_ar_baseline,R2,test2024,0.138457,,1,,preprocessing_exogenous.py,2026-09-12
T1,exo_+news,R2,test2024,0.00826,,1,,preprocessing_exogenous.py,2026-09-12
T1,exo_+weather,R2,test2024,0.143907,,1,,preprocessing_exogenous.py,2026-09-12
T1,exo_+gscpi,R2,test2024,-0.023306,,1,,preprocessing_exogenous.py,2026-09-12
T1,exo_+all,R2,test2024,-0.053507,,1,,preprocessing_exogenous.py,2026-09-12
T2,persistence,R2,test2024,0.560091,,1,,target_definition_robustness.py,2026-09-12
T2,ar_ridge,R2,test2024,0.564901,,1,,target_definition_robustness.py,2026-09-12
T3,persistence,R2,test2024,0.647614,,1,,target_definition_robustness.py,2026-09-12
T3,ar_ridge,R2,test2024,0.481684,,1,,target_definition_robustness.py,2026-09-12
T0,gcn,R2,test2024,0.568998,0.054262,5,80,graph_convergence.py,2026-09-12
T0,tgn,R2,test2024,0.538557,0.090027,5,80,graph_convergence.py,2026-09-12
T0,tgn_no_mem,R2,test2024,0.599389,0.047305,5,80,graph_convergence.py,2026-09-12
T1,gcn,R2,test2024,0.076711,0.02476,5,80,graph_convergence.py,2026-09-12
T1,tgn,R2,test2024,0.125345,0.023886,5,80,graph_convergence.py,2026-09-12
T1,tgn_no_mem,R2,test2024,0.123102,0.016322,5,80,graph_convergence.py,2026-09-12
H1,target,lag1_autocorr,test2024,-0.449396,,1,,horizon_sweep.py,2026-09-12
H1,persistence,R2,test2024,-1.908898,,1,,horizon_sweep.py,2026-09-12
H1,ar_ridge,R2,test2024,0.150075,,1,,horizon_sweep.py,2026-09-12
H1,persistence,R2_origin_mean,test2024,-1.743866,,1,,horizon_sweep.py,2026-09-12
H2,target,lag1_autocorr,test2024,0.056,,1,,horizon_sweep.py,2026-09-12
H2,persistence,R2,test2024,-0.349367,,1,,horizon_sweep.py,2026-09-12
H2,ar_ridge,R2,test2024,0.234948,,1,,horizon_sweep.py,2026-09-12
H2,persistence,R2_origin_mean,test2024,-0.748116,,1,,horizon_sweep.py,2026-09-12
H3,target,lag1_autocorr,test2024,0.194979,,1,,horizon_sweep.py,2026-09-12
H3,persistence,R2,test2024,-0.527586,,1,,horizon_sweep.py,2026-09-12
H3,ar_ridge,R2,test2024,0.176723,,1,,horizon_sweep.py,2026-09-12
H3,persistence,R2_origin_mean,test2024,-0.364025,,1,,horizon_sweep.py,2026-09-12
H6,target,lag1_autocorr,test2024,0.493052,,1,,horizon_sweep.py,2026-09-12
H6,persistence,R2,test2024,0.098264,,1,,horizon_sweep.py,2026-09-12
H6,ar_ridge,R2,test2024,0.277899,,1,,horizon_sweep.py,2026-09-12
H6,persistence,R2_origin_mean,test2024,-0.227907,,1,,horizon_sweep.py,2026-09-12
H12,target,lag1_autocorr,test2024,0.676834,,1,,horizon_sweep.py,2026-09-12
H12,persistence,R2,test2024,0.488953,,1,,horizon_sweep.py,2026-09-12
H12,ar_ridge,R2,test2024,0.385282,,1,,horizon_sweep.py,2026-09-12
H12,persistence,R2_origin_mean,test2024,0.311276,,1,,horizon_sweep.py,2026-09-12
T0(ref),target,lag1_autocorr,test2024,0.320882,,1,,horizon_sweep.py,2026-09-12
T0(ref),persistence,R2,test2024,0.647614,,1,,horizon_sweep.py,2026-09-12
T0(ref),ar_ridge,R2,test2024,0.571668,,1,,horizon_sweep.py,2026-09-12
T0(ref),persistence,R2_origin_mean,test2024,0.171988,,1,,horizon_sweep.py,2026-09-12
T1,ar1_12,R2,test2024,0.214997,,1,,seasonal_and_rolling.py,2026-09-12
T0,ar1_12,R2,test2024,0.561012,,1,,seasonal_and_rolling.py,2026-09-12
T0,roll_persistence,R2_origin_mean,origins_2023-02..2024-12,0.302294,,1,,seasonal_and_rolling.py,2026-09-12
T0,roll_ar1,R2_origin_mean,origins_2023-02..2024-12,0.338103,,1,,seasonal_and_rolling.py,2026-09-12
T0,roll_ar1_12,R2_origin_mean,origins_2023-02..2024-12,0.333058,,1,,seasonal_and_rolling.py,2026-09-12
T0,roll_ar_ridge_3feat,R2_origin_mean,origins_2023-02..2024-12,0.357095,,1,,seasonal_and_rolling.py,2026-09-12
T0,roll_random_forest,R2_origin_mean,origins_2023-02..2024-12,0.199878,,1,,seasonal_and_rolling.py,2026-09-12
T1,roll_persistence,R2_origin_mean,origins_2023-02..2024-12,-1.903163,,1,,seasonal_and_rolling.py,2026-09-12
T1,roll_ar1,R2_origin_mean,origins_2023-02..2024-12,0.155442,,1,,seasonal_and_rolling.py,2026-09-12
T1,roll_ar1_12,R2_origin_mean,origins_2023-02..2024-12,0.20625,,1,,seasonal_and_rolling.py,2026-09-12
T1,roll_ar_ridge_3feat,R2_origin_mean,origins_2023-02..2024-12,0.148233,,1,,seasonal_and_rolling.py,2026-09-12
T1,roll_random_forest,R2_origin_mean,origins_2023-02..2024-12,0.099062,,1,,seasonal_and_rolling.py,2026-09-12
